linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	loggastero	dloggastero	loggLC	dloggLC	convergence	fixteff	fixlogg	fixfeh	fixvt	outlier	weights	model	refine	EPcrit	RWcrit	ABdiffcrit
HD33811 	5582	30	4.33	0.06	0.32	0.02	0.81	0.05	4.26	0.06	4.37	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD33822 	5749	28	4.26	0.04	0.26	0.03	1.03	0.04	4.12	0.04	4.22	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD34327 	5852	30	4.07	0.07	-0.06	0.02	1.18	0.04	3.89	0.07	3.99	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD36051 	6165	30	4.63	0.05	-0.03	0.02	1.17	0.04	4.33	0.05	4.40	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD36179 	5317	38	4.42	0.09	-0.06	0.03	0.61	0.09	4.45	0.09	4.58	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD37226 	6186	28	4.14	0.04	-0.1	0.02	1.55	0.04	3.83	0.04	3.90	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD37548 	5971	27	4.23	0.05	-0.02	0.02	1.19	0.03	4.01	0.05	4.09	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD37990 	6209	28	4.48	0.05	0.03	0.02	1.10	0.04	4.16	0.05	4.23	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD38078 	5654	30	4.41	0.08	-0.24	0.02	0.58	0.06	4.31	0.08	4.42	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD3808  	5580	24	4.41	0.05	-0.14	0.02	0.75	0.04	4.34	0.05	4.45	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD38265 	5569	24	4.44	0.05	-0.11	0.02	0.71	0.05	4.37	0.05	4.48	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD38355 	5374	36	4.39	0.12	0.14	0.03	0.67	0.09	4.40	0.12	4.52	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD38385 	7248	102	4.77	0.13	0.11	0.05	2.77	0.27	4.05	0.14	4.05	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD38772 	6121	39	4.32	0.05	-0.22	0.03	1.19	0.05	4.04	0.05	4.11	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD39427 	5660	25	4.49	0.06	-0.15	0.02	0.77	0.05	4.39	0.06	4.49	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD3964  	5761	24	4.51	0.05	0.08	0.02	0.87	0.04	4.37	0.05	4.47	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD4021  	5787	40	4.58	0.05	-0.0	0.03	1.27	0.06	4.43	0.05	4.53	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD40483 	6449	50	4.39	0.08	0.00	0.03	1.86	0.08	3.98	0.08	4.03	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD40503 	4997	71	4.21	0.10	0.03	0.05	0.76	0.17	4.37	0.10	4.52	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD40865 	5705	19	4.45	0.03	-0.37	0.01	0.83	0.04	4.33	0.03	4.43	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD41087 	5580	29	4.53	0.09	-0.1	0.02	0.84	0.05	4.46	0.09	4.57	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD41248 	5701	24	4.45	0.04	-0.36	0.02	0.81	0.04	4.33	0.04	4.43	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD41323 	5789	23	4.47	0.13	-0.29	0.02	0.95	0.04	4.32	0.13	4.41	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD42505 	4778	93	4.32	0.21	-0.18	0.04	0.74	0.24	4.56	0.21	4.73	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD43197 	5470	47	4.26	0.07	0.39	0.04	0.70	0.10	4.23	0.07	4.35	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD44219 	5765	19	4.18	0.03	0.04	0.02	1.02	0.02	4.04	0.03	4.14	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD4457  	4982	54	4.39	0.09	-0.38	0.03	0.57	0.17	4.55	0.09	4.70	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD44804 	5400	33	4.47	0.10	0.06	0.02	0.99	0.06	4.47	0.10	4.59	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD457   	6082	27	4.42	0.06	0.35	0.02	1.12	0.03	4.15	0.06	4.23	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD45977 	4642	124	4.14	0.27	0.04	0.06	0.49	0.50	4.43	0.27	4.61	0.28	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD4597  	6031	31	4.36	0.04	-0.37	0.03	1.10	0.05	4.11	0.04	4.19	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD48115 	5824	17	4.47	0.04	-0.18	0.01	0.85	0.03	4.30	0.04	4.40	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD4838  	4606	65	4.38	0.23	-0.19	0.04	0.62	0.28	4.69	0.23	4.87	0.23	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD49035 	5689	30	4.37	0.06	0.28	0.02	0.99	0.05	4.26	0.06	4.36	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD52449 	6368	27	4.51	0.05	0.15	0.02	1.23	0.04	4.13	0.05	4.19	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD5349  	5139	67	3.90	0.16	0.45	0.06	1.01	0.14	4.00	0.16	4.14	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD5388  	6309	33	4.20	0.03	-0.26	0.02	1.60	0.05	3.85	0.03	3.91	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD54521 	5979	25	4.52	0.04	0.01	0.02	1.00	0.03	4.29	0.04	4.38	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD56380 	5344	25	4.37	0.05	-0.39	0.02	0.47	0.07	4.39	0.05	4.52	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD564   	5906	17	4.53	0.04	-0.18	0.01	0.93	0.03	4.33	0.04	4.42	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD57568 	4820	58	4.35	0.16	-0.45	0.03	0.72	0.18	4.58	0.16	4.74	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD58489 	4854	101	4.26	0.19	0.14	0.07	0.62	0.36	4.47	0.19	4.63	0.20	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD58676 	5175	51	4.43	0.16	0.04	0.03	0.70	0.13	4.52	0.16	4.66	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD61051 	5390	29	4.34	0.06	-0.06	0.02	0.67	0.06	4.34	0.06	4.47	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD61383 	5712	18	4.14	0.02	-0.47	0.01	1.04	0.03	4.02	0.02	4.12	0.02	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD61447 	5670	28	4.35	0.05	0.20	0.02	0.89	0.04	4.24	0.05	4.35	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD61986 	5723	27	4.42	0.04	-0.32	0.02	0.83	0.04	4.29	0.04	4.39	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD62128 	5846	25	4.22	0.04	0.33	0.02	1.17	0.03	4.05	0.04	4.14	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD62364 	6220	30	4.33	0.07	-0.09	0.02	1.30	0.04	4.01	0.07	4.08	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD62847 	5376	28	4.46	0.07	-0.22	0.02	0.56	0.07	4.47	0.07	4.59	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD63685 	5492	23	4.03	0.04	0.01	0.02	0.92	0.03	3.99	0.04	4.11	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD63754 	6214	40	4.22	0.05	0.21	0.03	1.58	0.05	3.90	0.05	3.97	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD6378  	4607	87	4.27	0.22	-0.43	0.03	0.45	0.36	4.58	0.22	4.75	0.22	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD64640 	5222	61	4.25	0.10	0.22	0.05	0.76	0.13	4.32	0.10	4.45	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD65982 	5954	23	4.39	0.03	-0.08	0.02	1.06	0.03	4.17	0.03	4.26	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD66039 	6150	25	4.49	0.06	0.19	0.02	1.09	0.03	4.20	0.06	4.27	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD66040 	5233	90	4.25	0.12	0.38	0.07	0.68	0.20	4.31	0.13	4.45	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD66168 	6224	36	4.70	0.05	0.01	0.03	1.11	0.06	4.38	0.05	4.45	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD66340 	5333	46	4.37	0.08	0.09	0.03	0.64	0.09	4.40	0.08	4.52	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD66740 	6716	50	4.57	0.06	0.09	0.03	1.68	0.07	4.06	0.06	4.09	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD66838 	5446	24	4.35	0.05	0.08	0.02	0.73	0.05	4.33	0.05	4.45	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD6718  	5734	17	4.41	0.03	-0.06	0.01	0.85	0.03	4.28	0.03	4.38	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD67200 	6101	22	4.38	0.04	0.33	0.02	1.16	0.02	4.11	0.04	4.18	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD67    	5731	25	4.50	0.04	0.03	0.02	0.98	0.04	4.37	0.04	4.47	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD68287 	6320	41	4.58	0.08	0.07	0.03	1.45	0.06	4.22	0.08	4.28	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD70903 	5134	35	4.49	0.11	-0.4	0.02	0.51	0.10	4.59	0.11	4.73	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD71685 	6027	37	4.50	0.07	-0.34	0.03	0.99	0.06	4.26	0.07	4.34	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD72374 	5781	22	4.37	0.04	-0.08	0.02	0.84	0.03	4.22	0.04	4.32	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD72659 	5950	19	4.26	0.02	-0.01	0.02	1.13	0.02	4.05	0.02	4.13	0.02	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD73267 	5386	30	4.35	0.06	0.08	0.02	0.62	0.07	4.35	0.06	4.48	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD73583 	4676	87	4.47	0.35	-0.18	0.04	0.53	0.40	4.75	0.35	4.92	0.35	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD74698 	5816	18	4.26	0.02	0.10	0.01	1.02	0.02	4.10	0.02	4.19	0.02	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD74957 	5873	24	4.38	0.04	-0.17	0.02	0.90	0.04	4.20	0.04	4.29	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD75328 	5991	27	4.37	0.04	-0.22	0.02	1.03	0.04	4.14	0.04	4.22	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD75530 	5300	32	4.43	0.07	-0.53	0.02	0.52	0.09	4.47	0.07	4.60	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD75881 	6271	52	4.50	0.11	0.08	0.04	1.73	0.07	4.16	0.11	4.22	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD76188 	6023	43	4.09	0.04	-0.38	0.03	1.18	0.06	3.85	0.04	3.93	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD76440 	5751	20	4.37	0.05	-0.01	0.02	0.87	0.03	4.23	0.05	4.33	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD78964B	5215	40	4.45	0.10	0.12	0.03	0.93	0.09	4.52	0.10	4.66	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD79601 	5849	27	4.30	0.05	-0.57	0.02	1.05	0.05	4.12	0.05	4.22	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD8038  	5701	30	4.42	0.05	0.22	0.02	0.80	0.05	4.30	0.05	4.40	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD81700 	5880	23	4.50	0.07	0.13	0.02	0.97	0.03	4.31	0.07	4.40	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD81767 	4978	98	4.34	0.17	0.09	0.06	0.54	0.32	4.50	0.17	4.66	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD82114 	5927	24	4.18	0.03	0.03	0.02	1.26	0.03	3.97	0.03	4.06	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD82783 	5358	54	4.36	0.12	0.27	0.04	0.81	0.10	4.38	0.12	4.50	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD84305 	5942	27	4.46	0.05	-0.22	0.02	0.92	0.04	4.25	0.05	4.33	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD84627B	6123	35	4.48	0.05	-0.26	0.02	1.11	0.05	4.20	0.05	4.27	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD8535  	6159	17	4.41	0.04	0.05	0.01	1.22	0.02	4.11	0.04	4.19	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD85725 	6018	27	4.03	0.05	0.17	0.02	1.53	0.03	3.79	0.05	3.87	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD86652 	5948	23	4.45	0.05	0.14	0.02	1.01	0.03	4.24	0.05	4.32	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD87320 	5640	27	4.37	0.05	-0.14	0.02	0.80	0.04	4.28	0.05	4.38	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD87838 	6045	29	4.29	0.05	-0.43	0.02	1.20	0.05	4.04	0.05	4.12	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD88885 	5378	30	4.45	0.08	-0.08	0.02	0.73	0.06	4.46	0.08	4.58	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD89147 	5320	30	4.42	0.07	-0.06	0.02	0.75	0.06	4.45	0.07	4.58	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD8930  	5664	30	4.40	0.06	-0.19	0.02	0.76	0.06	4.30	0.06	4.40	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD89668 	4823	95	4.37	0.32	-0.1	0.07	0.45	0.59	4.59	0.32	4.76	0.32	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD89749 	5442	23	4.48	0.05	-0.28	0.02	0.61	0.05	4.46	0.05	4.58	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD89839 	6295	28	4.47	0.05	0.05	0.02	1.27	0.04	4.12	0.05	4.18	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD8985  	6476	142	5.00	0.13	0.04	0.10	1.97	0.09	4.58	0.14	4.63	0.15	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD89920 	4943	92	4.45	0.30	-0.02	0.04	0.41	0.40	4.63	0.30	4.78	0.30	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD89965 	5063	56	4.44	0.16	-0.08	0.03	0.80	0.14	4.57	0.16	4.72	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD90081 	5904	28	4.25	0.05	-0.17	0.02	1.03	0.04	4.05	0.05	4.14	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD90133 	5129	53	4.49	0.19	-0.12	0.03	0.49	0.16	4.59	0.19	4.74	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD90702 	5750	27	4.51	0.05	0.19	0.02	1.05	0.04	4.37	0.05	4.47	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD90722 	5727	35	4.22	0.05	0.33	0.03	1.01	0.04	4.09	0.05	4.19	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD90926 	5578	27	4.37	0.06	0.16	0.02	0.78	0.05	4.30	0.06	4.41	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD90936 	5924	25	4.47	0.06	0.04	0.02	1.02	0.03	4.27	0.06	4.35	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD91267 	4953	75	4.40	0.17	-0.06	0.04	0.41	0.32	4.57	0.17	4.73	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD91345 	5623	45	4.41	0.06	-1.04	0.03	0.57	0.13	4.32	0.06	4.43	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD91379 	6187	49	4.43	0.06	-0.28	0.03	1.02	0.07	4.12	0.06	4.19	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD92547 	6014	31	4.43	0.04	-0.36	0.02	1.03	0.06	4.19	0.04	4.27	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD93351 	5430	24	4.37	0.06	-0.21	0.02	0.63	0.05	4.36	0.06	4.48	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD93745 	6078	25	4.29	0.06	0.14	0.02	1.34	0.03	4.03	0.06	4.10	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD93932 	5950	27	4.28	0.04	0.07	0.02	1.13	0.03	4.07	0.04	4.15	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD94771 	5627	24	4.02	0.06	0.21	0.02	1.11	0.03	3.93	0.06	4.04	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD94964 	6140	35	4.52	0.07	-0.08	0.03	1.31	0.06	4.23	0.07	4.30	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD95533 	5423	34	4.33	0.08	0.20	0.02	0.69	0.07	4.32	0.08	4.44	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD95542 	5978	20	4.51	0.05	-0.03	0.01	0.97	0.03	4.28	0.05	4.37	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD9578  	6052	19	4.51	0.04	0.11	0.01	1.06	0.03	4.26	0.04	4.33	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD95922 	6313	42	4.60	0.05	-0.04	0.03	1.22	0.06	4.24	0.05	4.03	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD9608  	5952	29	4.38	0.04	-0.23	0.02	0.93	0.05	4.16	0.04	4.25	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD96116 	5830	17	4.49	0.06	0.00	0.01	0.94	0.02	4.32	0.06	4.42	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD96276 	6070	26	4.49	0.06	-0.0	0.02	1.05	0.04	4.23	0.06	4.31	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD96290 	6197	23	4.52	0.07	0.05	0.02	1.12	0.03	4.21	0.07	4.28	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD96673 	4800	109	4.30	0.22	-0.07	0.04	0.16	1.06	4.53	0.22	4.70	0.23	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD97320 	6129	61	4.47	0.06	-1.05	0.04	1.35	0.18	4.19	0.06	4.26	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD98284 	5852	47	4.35	0.05	-0.83	0.04	0.88	0.10	4.17	0.05	4.27	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP102025	4725	79	4.29	0.15	-0.26	0.05	0.44	0.35	4.55	0.15	4.72	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP102964	4816	66	4.36	0.17	-0.18	0.04	0.53	0.27	4.59	0.17	4.75	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP103867	4726	94	4.36	0.19	-0.35	0.04	0.98	0.27	4.62	0.19	4.79	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP104856	5020	56	4.33	0.12	-0.18	0.03	0.44	0.20	4.48	0.12	4.63	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP105506	4900	130	4.43	0.41	0.03	0.10	0.14	1.21	4.62	0.41	4.78	0.41	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP10741	4901	63	4.47	0.32	-0.10	0.03	0.37	0.34	4.66	0.32	4.82	0.32	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP108216	4811	122	4.51	0.44	-0.46	0.08	0.12	1.21	4.74	0.44	4.90	0.44	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP109149	4947	71	4.36	0.14	-0.09	0.04	0.38	0.28	4.54	0.14	4.69	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP109421	4619	124	4.38	0.36	-0.23	0.14	0.19	2.67	4.68	0.36	4.86	0.36	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HIP113596	4615	107	4.23	0.21	-0.12	0.04	0.34	0.69	4.53	0.21	4.71	0.22	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP116374	4658	70	4.20	0.16	0.07	0.03	0.01	0.68	4.49	0.16	4.66	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP116939	5015	67	4.25	0.11	0.03	0.05	0.34	0.34	4.40	0.11	4.55	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP12147	5053	49	4.48	0.13	-0.31	0.03	0.45	0.19	4.61	0.13	4.76	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP15587	5288	43	4.43	0.10	-0.06	0.03	0.60	0.10	4.47	0.10	4.60	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP16094	4934	74	4.47	0.25	-0.0	0.05	0.50	0.30	4.65	0.25	4.81	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP17346	4719	108	4.31	0.22	-0.1	0.06	0.47	0.52	4.57	0.22	4.74	0.23	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP1745 	5441	27	4.36	0.06	-0.42	0.02	0.55	0.06	4.34	0.06	4.46	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP18918	4666	107	4.29	0.24	-0.18	0.04	0.67	0.35	4.57	0.24	4.75	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HIP20444	4906	79	4.35	0.19	-0.09	0.04	0.48	0.29	4.54	0.19	4.70	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
