linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	loggastero	dloggastero	loggLC	dloggLC	convergence	fixteff	fixlogg	fixfeh	fixvt	outlier	weights	model	refine	EPcrit	RWcrit	ABdiffcrit
HD128113	4982	54	4.30	0.09	-0.11	0.04	0.31	0.26	4.46	0.09	4.61	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD128431	5450	24	4.39	0.05	-0.27	0.02	0.55	0.06	4.37	0.05	4.49	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD128571	6206	56	4.40	0.04	-0.29	0.04	1.07	0.08	4.09	0.05	4.15	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD129191	5819	28	4.34	0.04	0.24	0.02	0.98	0.03	4.18	0.04	4.27	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD129829	6155	47	4.57	0.08	-0.13	0.03	1.14	0.07	4.28	0.08	4.35	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD130989	6441	47	4.28	0.04	-0.2	0.03	1.79	0.08	3.87	0.04	3.93	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131183	5693	25	4.20	0.03	0.11	0.02	0.99	0.03	4.09	0.03	4.19	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131218	5774	26	4.47	0.08	-0.03	0.02	0.88	0.04	4.32	0.08	4.42	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131565	5618	19	4.41	0.07	-0.16	0.01	0.82	0.03	4.32	0.07	4.43	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD131664	5902	25	4.39	0.06	0.32	0.02	1.06	0.03	4.19	0.06	4.28	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD132411	4704	93	4.29	0.19	-0.26	0.05	0.26	0.61	4.56	0.19	4.73	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD13252 	5395	33	4.29	0.06	-0.19	0.02	0.66	0.07	4.29	0.06	4.41	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD132569	5032	54	4.49	0.12	-0.25	0.03	0.53	0.17	4.63	0.12	4.78	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD133633	5592	22	4.44	0.07	-0.42	0.02	0.74	0.04	4.36	0.07	4.47	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD134702	5784	27	4.42	0.07	-0.01	0.02	0.69	0.05	4.27	0.07	4.37	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD134929B	5372	34	4.43	0.14	0.12	0.02	0.64	0.09	4.44	0.14	4.56	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD135468	6444	46	4.24	0.04	0.03	0.03	1.74	0.06	3.83	0.04	3.89	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD135625	6008	18	4.31	0.03	0.13	0.01	1.12	0.02	4.07	0.03	4.15	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD13578 	5875	25	4.19	0.04	0.00	0.02	1.17	0.03	4.00	0.04	4.10	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD137010	4818	82	4.32	0.19	-0.19	0.05	0.36	0.36	4.55	0.19	4.71	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD137676	5255	22	3.89	0.04	-0.51	0.02	0.68	0.04	3.95	0.04	4.08	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD138799	5224	45	4.26	0.08	0.04	0.03	0.70	0.10	4.33	0.08	4.46	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD138914	5015	59	4.33	0.11	-0.09	0.04	0.66	0.15	4.48	0.11	4.63	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139189	5086	50	4.35	0.13	0.04	0.03	0.73	0.14	4.47	0.13	4.62	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139332	4962	51	4.41	0.14	0.03	0.02	0.00	0.11	4.58	0.14	4.73	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139536	5181	81	4.58	0.18	0.03	0.05	0.74	0.23	4.66	0.18	4.80	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139590	6204	29	4.45	0.05	0.14	0.02	1.34	0.03	4.14	0.05	4.20	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139710	5154	49	4.43	0.13	-0.04	0.03	0.94	0.10	4.53	0.13	4.66	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD139879	6177	36	4.56	0.08	0.28	0.03	1.23	0.05	4.26	0.08	4.33	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD140785	5756	25	4.13	0.03	-0.03	0.02	1.01	0.03	3.99	0.03	4.09	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD141128	6643	53	4.46	0.08	0.06	0.03	1.51	0.07	3.98	0.08	4.01	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD141597	6252	56	4.29	0.06	-0.4	0.04	1.12	0.09	3.96	0.06	4.02	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD141598	5632	24	4.40	0.06	-0.06	0.02	0.77	0.04	4.31	0.06	4.42	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD141624	5837	40	4.29	0.06	-0.35	0.03	0.87	0.06	4.12	0.06	4.21	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD142879	5719	27	4.54	0.05	-0.36	0.02	0.69	0.06	4.42	0.05	4.52	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD143638	5937	21	4.42	0.04	-0.25	0.02	0.97	0.03	4.21	0.04	4.30	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD143790	6558	56	4.04	0.06	-0.01	0.04	1.89	0.08	3.59	0.06	3.63	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD144342	5422	40	4.44	0.10	0.11	0.03	0.83	0.07	4.43	0.10	4.55	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD14452 	5328	34	4.46	0.10	-0.11	0.02	0.75	0.07	4.49	0.10	4.62	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD144846	6106	26	4.49	0.07	0.16	0.02	1.05	0.04	4.21	0.07	4.29	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD144880	6141	39	4.26	0.05	-0.29	0.03	1.28	0.06	3.97	0.05	4.04	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD145377	6038	17	4.49	0.04	0.12	0.01	1.07	0.02	4.24	0.04	4.32	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD145927	5828	24	4.39	0.04	-0.01	0.02	0.96	0.03	4.22	0.04	4.32	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD147147	4906	69	4.44	0.26	-0.14	0.03	0.83	0.23	4.63	0.26	4.79	0.26	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD147195	5575	30	4.44	0.07	-0.02	0.02	0.72	0.05	4.37	0.07	4.48	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD14745 	6289	38	4.62	0.06	-0.11	0.03	1.35	0.05	4.27	0.06	4.34	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD148156	6254	36	4.56	0.06	0.26	0.03	1.31	0.04	4.23	0.06	4.29	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD148211	5926	24	4.28	0.04	-0.6	0.02	1.25	0.04	4.07	0.04	4.16	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD148577	5705	19	4.19	0.04	-0.07	0.02	0.92	0.03	4.07	0.04	4.17	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD14868 	5891	29	4.41	0.06	0.06	0.02	0.90	0.04	4.22	0.06	4.31	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD149200	6329	53	4.45	0.09	0.12	0.04	1.68	0.07	4.09	0.09	4.15	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD149396	5668	23	4.44	0.05	0.19	0.02	0.95	0.04	4.34	0.05	4.44	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD149724	5745	35	4.25	0.05	0.38	0.03	1.03	0.04	4.12	0.05	4.21	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD150139	5919	29	4.16	0.04	-0.5	0.02	1.09	0.05	3.96	0.04	4.05	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD150437	5835	25	4.31	0.05	0.31	0.02	1.05	0.03	4.14	0.05	4.23	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD150474	5438	25	4.01	0.05	0.03	0.02	0.92	0.04	3.99	0.05	4.11	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD151692	4775	116	4.30	0.24	-0.04	0.05	0.54	0.43	4.54	0.24	4.71	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD151772	6667	80	4.93	0.12	-0.29	0.05	2.25	0.23	4.44	0.12	4.47	0.13	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD151933	5887	23	4.27	0.04	-0.18	0.02	1.05	0.03	4.08	0.04	4.17	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD152433	6170	31	4.48	0.05	-0.07	0.02	1.17	0.04	4.18	0.05	4.25	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD152533	4833	114	4.29	0.21	-0.02	0.05	0.28	0.73	4.51	0.21	4.67	0.22	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD153276	5998	31	4.44	0.05	0.04	0.03	1.08	0.04	4.21	0.05	4.29	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD153950	6068	18	4.34	0.05	-0.01	0.01	1.20	0.02	4.08	0.05	4.16	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD154195A	5927	29	4.38	0.06	-0.17	0.02	0.89	0.04	4.17	0.06	4.26	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD154387	4789	63	4.52	0.24	-0.2	0.03	0.00	0.49	4.76	0.24	4.92	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD155717	4958	52	4.43	0.14	-0.11	0.03	0.75	0.14	4.60	0.14	4.75	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD155968	5791	35	4.42	0.06	0.16	0.03	0.96	0.05	4.27	0.06	4.36	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD156079	5927	24	4.23	0.04	0.30	0.02	1.20	0.03	4.02	0.04	4.11	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD156098	6537	52	4.18	0.05	0.20	0.03	2.00	0.06	3.74	0.05	3.78	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD15612 	5235	33	4.45	0.07	-0.1	0.02	0.80	0.07	4.51	0.07	4.65	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD156411	5908	20	3.97	0.04	-0.1	0.02	1.31	0.02	3.77	0.04	3.86	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD156423	5208	43	4.47	0.08	-0.39	0.03	0.34	0.17	4.54	0.08	4.68	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD156517	5057	59	4.44	0.17	0.08	0.04	0.80	0.15	4.57	0.17	4.72	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD156991	5939	33	4.56	0.05	-0.06	0.03	1.03	0.05	4.35	0.05	4.44	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD157668	5185	30	4.45	0.08	-0.21	0.02	0.51	0.10	4.53	0.08	4.67	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD15906 	4962	111	4.46	0.29	0.01	0.06	0.71	0.25	4.63	0.29	4.78	0.29	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD160089	6386	66	4.92	0.07	0.14	0.04	1.71	0.12	4.54	0.07	4.59	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD16008 	5736	26	4.39	0.04	-0.06	0.02	0.82	0.04	4.26	0.04	4.36	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD160836	4793	75	4.34	0.17	-0.13	0.04	0.76	0.24	4.58	0.17	4.74	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD161256	5698	24	4.30	0.04	0.16	0.02	0.95	0.03	4.18	0.04	4.29	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD161555	5882	21	4.12	0.04	0.14	0.02	1.26	0.02	3.93	0.04	4.02	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD161566	6221	27	4.11	0.04	-0.26	0.02	1.54	0.04	3.79	0.04	3.86	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD16280 	4776	96	4.32	0.21	-0.16	0.06	0.45	0.40	4.56	0.21	4.73	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD163102	6510	68	4.79	0.07	0.06	0.04	1.96	0.13	4.36	0.07	4.40	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD163436	5056	61	4.34	0.15	-0.06	0.03	0.61	0.15	4.47	0.15	4.62	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD16382 	5930	22	4.38	0.04	0.02	0.02	1.08	0.03	4.17	0.04	4.26	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD165131	5882	22	4.43	0.05	0.09	0.02	0.94	0.03	4.24	0.05	4.33	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD16536 	5324	40	4.45	0.11	-0.02	0.03	0.63	0.09	4.48	0.11	4.61	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD16548 	5696	22	3.94	0.05	0.15	0.02	1.20	0.02	3.82	0.05	3.93	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD166745	5651	30	4.27	0.05	0.28	0.02	0.97	0.04	4.17	0.05	4.28	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD167677	5477	23	4.35	0.04	-0.27	0.02	0.63	0.04	4.32	0.04	4.44	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD168769	5401	31	4.41	0.09	0.03	0.02	0.88	0.06	4.41	0.09	4.53	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD168863	4928	95	4.37	0.24	0.21	0.06	0.49	0.44	4.55	0.24	4.71	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD168870	5345	26	4.37	0.07	-0.28	0.02	0.65	0.06	4.39	0.07	4.52	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD16905 	4954	107	4.35	0.21	0.16	0.07	0.67	0.30	4.52	0.21	4.68	0.22	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD170958	5589	52	4.77	0.08	-0.02	0.04	1.30	0.09	4.70	0.08	4.81	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD171825	5000	66	4.50	0.19	-0.08	0.04	0.71	0.17	4.65	0.19	4.80	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD171942	5646	22	4.38	0.05	-0.07	0.02	0.78	0.04	4.28	0.05	4.39	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD172568	5679	29	4.42	0.04	-0.36	0.02	0.70	0.05	4.31	0.04	4.41	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD172643	5655	25	4.43	0.07	-0.13	0.02	0.76	0.05	4.33	0.07	4.44	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD173885	6247	33	4.25	0.05	-0.19	0.02	1.48	0.05	3.92	0.05	3.99	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD174153	6189	41	4.44	0.05	-0.04	0.03	1.23	0.06	4.13	0.05	4.20	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD17439 	5743	22	4.42	0.04	0.11	0.02	0.87	0.03	4.29	0.04	4.39	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD17548 	5988	30	4.40	0.04	-0.51	0.02	0.99	0.06	4.17	0.04	4.25	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD176354	5335	45	3.94	0.13	0.31	0.04	1.06	0.06	3.96	0.13	4.09	0.13	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD176535	4742	89	4.28	0.15	-0.14	0.06	0.47	0.38	4.54	0.15	4.70	0.16	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD176666	6065	43	4.56	0.05	-0.34	0.03	1.00	0.07	4.30	0.05	4.38	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD177033	4888	61	4.49	0.27	-0.1	0.06	0.01	0.97	4.69	0.27	4.85	0.27	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD177122	5985	25	4.45	0.04	-0.08	0.02	0.92	0.04	4.22	0.04	4.30	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD178904	5725	26	4.40	0.04	0.11	0.02	0.96	0.04	4.27	0.04	4.37	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD179346	6325	64	4.87	0.09	0.01	0.05	1.62	0.11	4.51	0.09	4.57	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD18001 	5791	21	4.46	0.04	-0.06	0.02	0.85	0.03	4.31	0.04	4.40	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD18083 	6218	63	4.86	0.06	0.07	0.05	1.47	0.10	4.54	0.06	4.61	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD181249	4940	50	4.25	0.09	-0.09	0.03	0.30	0.27	4.43	0.09	4.58	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD181428	6143	29	4.34	0.05	0.07	0.02	1.28	0.03	4.05	0.05	4.12	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD181720	5786	18	4.19	0.02	-0.52	0.01	1.15	0.03	4.04	0.02	4.14	0.02	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD185283	4895	87	4.33	0.19	-0.03	0.05	0.48	0.32	4.53	0.19	4.68	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD186302	5686	25	4.43	0.06	-0.01	0.02	0.82	0.04	4.32	0.06	4.42	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD187760	4651	170	4.41	0.59	-0.28	0.08	0.35	1.30	4.70	0.59	4.87	0.60	False	False	False	False	False	allOnce	null	kurucz95	True	0.001	0.003	0.01
HD18777 	5102	60	4.46	0.19	0.03	0.04	0.60	0.18	4.58	0.19	4.72	0.19	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD188091	5184	54	4.33	0.11	0.11	0.03	0.89	0.11	4.41	0.11	4.55	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD18822 	5316	43	4.45	0.10	-0.02	0.03	0.89	0.08	4.48	0.10	4.61	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD18838 	5475	29	4.35	0.04	-0.14	0.02	0.55	0.06	4.32	0.04	4.44	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD188815	6162	57	4.23	0.04	-0.52	0.04	1.14	0.09	3.93	0.05	4.00	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD189004	5171	46	4.41	0.11	-0.01	0.03	0.73	0.10	4.50	0.11	4.64	0.11	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD189987	4803	833	4.25	1.26	-0.02	0.82	0.00	38.73	4.48	1.30	4.65	1.32	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD190204	5431	38	4.51	0.10	0.01	0.03	0.86	0.07	4.50	0.10	4.62	0.10	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD190524	5839	26	4.51	0.06	-0.1	0.02	0.85	0.04	4.34	0.06	4.43	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD190613	5773	20	4.26	0.03	0.01	0.02	0.93	0.03	4.11	0.03	4.21	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD191033	6218	53	4.52	0.06	-0.17	0.04	1.39	0.09	4.20	0.06	4.27	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD191285	4696	83	4.32	0.21	-0.25	0.06	0.37	0.52	4.59	0.21	4.76	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD191797	5014	49	4.38	0.12	-0.08	0.03	0.83	0.11	4.53	0.12	4.68	0.12	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD191902	4741	95	4.17	0.16	-0.14	0.06	0.43	0.44	4.43	0.16	4.59	0.17	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD19230 	5219	46	4.55	0.07	-0.58	0.04	0.26	0.26	4.62	0.07	4.75	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD192865	6315	48	4.52	0.09	0.14	0.03	1.65	0.06	4.16	0.09	4.22	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD193406	4711	65	4.27	0.14	-0.37	0.03	0.70	0.22	4.54	0.14	4.71	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD19423 	5766	28	4.16	0.03	-0.07	0.02	0.97	0.04	4.02	0.03	4.11	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD194717	5289	37	4.24	0.06	-0.26	0.03	0.45	0.10	4.28	0.06	4.41	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD195145	5654	21	4.40	0.06	0.20	0.01	0.80	0.03	4.30	0.06	4.41	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD195200	6223	32	4.44	0.05	-0.06	0.02	1.25	0.04	4.12	0.05	4.19	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD196384	6675	72	4.83	0.07	-0.09	0.05	1.88	0.14	4.33	0.08	4.37	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD196397	5424	43	4.36	0.09	0.33	0.03	0.67	0.12	4.35	0.09	4.47	0.09	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD19641 	5818	18	4.37	0.03	0.00	0.01	0.94	0.02	4.21	0.03	4.30	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD197300	6013	38	4.67	0.05	-0.02	0.03	1.29	0.06	4.43	0.05	4.51	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD197921	5007	125	4.35	0.23	0.16	0.08	0.58	0.31	4.50	0.24	4.65	0.24	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD1979  	5622	18	4.49	0.06	-0.07	0.01	0.72	0.03	4.40	0.06	4.51	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD199086	6127	29	4.44	0.08	0.20	0.02	1.16	0.03	4.16	0.08	4.23	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
